datoms,backend,mean,sd
1,PostgreSQL,33.494163424124515,14.411399736452156
1,In-Memory,0.5486381322957199,0.498599692836346
1,LevelDB,4.622568093385214,3.1674548049868436
1,File-based,38.474708171206224,13.964531746075822
2,PostgreSQL,38.01556420233463,18.127363826804437
2,In-Memory,0.12840466926070038,0.33519260970837816
2,LevelDB,8.98443579766537,7.671461354223083
2,File-based,40.62256809338521,16.36096596908734
4,PostgreSQL,39.96887159533074,18.60293900805335
4,In-Memory,0.1828793774319066,0.38732188073953494
4,LevelDB,11.90272373540856,11.172750069467497
4,File-based,47.976653696498055,22.23839760011975
8,PostgreSQL,49.35408560311284,21.43784422191904
8,In-Memory,0.42412451361867703,0.5821915358675335
8,LevelDB,17.186770428015564,11.665761035815322
8,File-based,56.583657587548636,31.55788650452207
16,PostgreSQL,53.08171206225681,28.678939630108246
16,In-Memory,0.5330739299610895,0.5152702249007419
16,LevelDB,24.739299610894943,22.672906211380106
16,File-based,75.96887159533074,43.06897406762038
32,PostgreSQL,65.284046692607,33.39338588793162
32,In-Memory,0.6964980544747081,0.4606671802644102
32,LevelDB,35.284046692607006,15.960922077383607
32,File-based,94.42412451361868,48.28944187899087
64,PostgreSQL,100.06614785992218,55.60827963189183
64,In-Memory,1.3307392996108949,0.47961230898098256
64,LevelDB,57.48249027237354,20.16399281576739
64,File-based,137.91050583657588,78.47857345007459
128,PostgreSQL,181.08949416342412,75.33427956952107
128,In-Memory,2.377431906614786,0.4936673390393994
128,LevelDB,108.7704280155642,36.45381577533019
128,File-based,229.08949416342412,105.76445936967086
256,PostgreSQL,353.87548638132296,79.10969479651445
256,In-Memory,4.6498054474708175,0.5744647314034684
256,LevelDB,214.96498054474708,36.27955071520698
256,File-based,422.5486381322957,102.41382890827634
512,PostgreSQL,675.8988326848249,100.08780070615273
512,In-Memory,9.24124513618677,1.4073506825165398
512,LevelDB,466.591439688716,49.03092539596641
512,File-based,752.4357976653697,93.03987700723488
1024,PostgreSQL,1331.9066147859921,166.32899625482074
1024,In-Memory,18.591439688715955,1.7744950506622723
1024,LevelDB,982.3463035019455,71.68268235196804
1024,File-based,1394.7548638132296,137.138040008112
